사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2020-11,2호선,29,삼성(무역센터),162,1,4657,4680,6577,37529,14589,120500,19431,308413,19207,230504,20003,97887,29245,66094,37755,58518,49329,64388,59579,55484,73520,48545,92583,46293,172109,49247,280802,55641,153560,30230,106905,15675,87207,13142,54583,9785,12568,6359,7,3130,1,0,0,0,0,0
2020-11,2호선,30,선릉,85,1,4214,6031,10038,38064,19630,104839,29155,268905,28179,212032,30545,88369,41220,58252,47739,51279,57693,58982,66226,51143,82775,45156,115397,43807,172892,47143,274474,52424,136505,33350,84475,18951,79962,16040,57714,13101,18001,7810,6,394,0,0,1,0,0,0
2020-11,2호선,31,역삼,100,2,3679,6975,8133,45489,13472,110760,22870,306947,22234,261866,20819,98416,28737,56206,35693,48480,40906,53769,49499,46280,65086,41605,86636,38909,172088,45780,260773,52609,133570,33964,76781,19253,75160,15668,47784,11385,14689,7684,6,59,0,0,0,0,2,0
2020-11,2호선,32,강남,175,3,9566,10987,18069,49086,34104,142250,58156,310202,47670,319386,44211,147560,59843,103807,78248,100854,96444,120414,102133,105869,129228,100106,149447,100161,229638,126965,332632,177862,209371,116642,159795,51923,187562,41087,163419,29770,54414,21141,32,81,3,0,3,0,0,0
2020-11,2호선,33,교대(법원.검찰청),18,1,2420,6957,11005,26274,22402,55246,33235,146830,25891,135592,24498,66198,30057,51030,33904,47349,40215,55009,47852,49388,54701,45697,60806,43393,94476,53854,141592,66696,65566,42407,50830,22376,56809,19269,41609,15521,13436,9891,4,118,0,0,0,0,0,0
2020-11,2호선,34,서초,28,0,1253,4724,9213,19290,15120,47568,23031,118111,23409,92948,17427,39669,22457,28617,21487,22265,28288,25593,30106,23616,36073,20443,42004,20500,68114,21576,103615,22891,45621,14737,28373,9527,28747,8244,17275,7101,4783,3959,2,9,0,0,0,0,1,0
2020-11,2호선,35,방배,12,1,2612,3432,8730,13777,21629,27028,31085,73187,24620,47591,16729,24276,17637,20531,19819,20678,22252,22272,23760,22910,26691,21539,32940,22818,43827,30384,68674,38515,29402,27935,20893,17267,21190,16357,16196,14293,6241,7838,1,61,2,0,0,0,0,0
2020-11,2호선,36,사당,133,7,12322,3423,22684,28784,68325,41045,97839,64554,68803,48168,40999,38387,37495,41059,43600,41797,46041,45010,46446,45828,47747,53846,52787,71859,66103,99605,87258,151323,57941,110039,51655,62625,57819,58749,50507,50786,23081,32363,27,2973,0,0,4,0,1,0
2020-11,2호선,37,낙성대(강감찬),45,9,11304,2064,23962,8591,74941,17472,120956,35513,76975,30955,39072,22836,31770,20533,35085,23610,34759,26404,31449,28548,32054,33782,35115,38944,42187,55817,47100,92893,27136,83059,20385,53075,19525,49557,15156,45347,6246,25437,4,2199,0,0,0,0,0,0
2020-11,2호선,38,서울대입구(관악구청),4214,20,27445,2499,40664,12909,119938,27429,183150,58986,115739,59186,60802,43489,52856,39957,56760,44322,59606,51440,55625,52146,58429,60259,66373,70451,74968,98358,86001,166038,51420,143601,42238,83067,44654,78666,38501,69188,15607,40734,11,12798,0,0,0,0,0,0
2020-11,2호선,39,봉천,70,3,15128,1405,26645,6458,77573,11699,119929,24672,69429,19673,36182,17812,28525,18267,30760,20455,30980,22974,26059,25125,26038,32924,27261,36483,29018,51286,31605,82520,18240,69615,14454,43574,13426,40952,10178,34068,3224,20434,3,508,0,0,0,0,0,0
2020-11,2호선,40,신림,296,21,39013,4457,72184,19657,196657,32271,300910,59535,175454,52312,91427,40745,74323,42114,78491,49207,75957,56853,68155,63087,66691,81010,76434,94167,81896,137820,85018,241268,54749,211569,45389,130637,44099,126857,36781,104375,16062,69766,9,517,0,0,0,0,0,0
2020-11,2호선,41,신대방,100,2,24202,2148,34133,9100,84362,17029,125346,31891,74286,21111,40160,16349,31216,17059,32156,20391,30512,23232,26683,26158,26562,34577,30163,40770,33551,60418,39285,90623,21472,77242,15915,50332,11789,55864,9290,46910,3753,28005,3,86,0,0,3,0,0,0
2020-11,2호선,42,구로디지털단지,270,19,39397,6694,50457,22231,131660,74885,182485,243542,111021,153526,60369,57712,53181,43316,58352,44396,60941,53303,54961,54707,56948,63349,70588,71310,124136,106588,220575,158325,111564,130433,64144,79396,53649,81728,37802,70271,13506,41750,10,208,1,0,0,0,2,0
2020-11,2호선,43,대림(구로구청),599,15,34181,3534,29193,10652,62905,21741,91830,57382,60229,36612,33258,28575,28157,28156,31071,28847,31188,30089,28855,30634,30533,38071,33432,42338,43217,62243,55534,70214,27471,51696,18854,35636,15302,47298,10397,39518,4339,19198,2,560,1,0,5,0,2,0
2020-11,2호선,44,신도림,3760,14,35437,5239,46349,18451,124463,38364,131544,109462,81238,66624,52616,58035,51637,52996,59648,57302,63118,61736,60834,58925,64237,66149,73155,75823,94830,100999,123865,158303,72410,120332,58497,68353,58223,64710,39319,58071,14798,39636,53,10757,0,1,1,0,0,0
2020-11,2호선,45,문래,17,1,3262,1723,11594,9429,40788,31287,44732,117958,25382,56703,17805,21882,17431,18296,19986,19723,21195,21083,21714,19992,23406,20163,28482,23534,49695,31010,99958,51480,36144,38009,23298,19818,23567,18082,17063,15168,6687,8550,12,543,0,0,0,0,0,0
2020-11,2호선,46,영등포구청,34,0,5682,3078,11822,13459,38651,33028,45784,120713,28196,55822,20783,25355,21870,21884,23901,22939,25699,25761,26057,23197,29122,24315,34963,26362,51986,32775,103731,51808,36124,35912,25680,20307,24445,19073,16212,16313,5787,10531,7,739,0,0,1,0,0,0
2020-11,2호선,47,당산,64,10,6448,3180,15189,11865,43187,27034,53598,80072,32180,39178,20707,19618,19997,17334,21171,19592,21946,21000,20716,20898,21408,23328,25025,27735,39503,40619,62091,69099,27272,48509,19945,29667,19725,29272,15189,23383,6130,15028,9,931,0,0,0,0,0,0
2020-11,2호선,48,합정,95,2,7821,3076,16496,14231,41226,31654,53742,89673,35104,71663,24715,40650,25244,36696,28848,40138,33864,47238,35169,42848,37598,42753,45970,49542,64094,65899,104086,97673,66069,70987,49969,36189,57094,30010,49945,23816,20864,17596,26,904,0,0,0,0,0,0
2020-11,2호선,49,홍대입구,618,9,17254,3162,22653,14566,56956,29922,72836,90173,47411,101850,33911,66983,39825,69309,48766,85433,57657,100170,58753,98868,70831,100685,89829,106207,118185,131039,145323,177624,108975,126297,104731,62786,126317,48629,118447,38103,47948,28054,276,4904,3,2,1,0,0,0
2020-11,2호선,50,신촌,53,0,6206,2906,11836,16413,30389,31508,43642,70529,31220,82102,28876,52079,33886,45343,43117,49176,44856,58649,46460,51334,52867,47532,65049,49472,81499,66304,82475,97842,56393,65293,58285,32633,60796,28058,56110,22614,21441,16167,9,303,0,0,1,1,0,0
2020-11,2호선,51,이대,38,1,2531,1700,6120,11516,18083,11089,24282,32437,14635,31460,11302,21886,13066,18042,18113,20265,20172,23152,17927,19205,21079,18202,28033,18522,37560,21894,32568,31366,19524,22113,16204,12949,16482,12942,13104,11204,4044,8427,2,153,0,1,0,0,0,0
2020-11,2호선,52,아현,23,2,4852,1309,9570,7479,25684,10689,35647,20453,20110,12000,14016,9178,13209,8747,14778,10338,13529,11583,13829,11940,15847,13555,18934,15466,19081,20887,18569,30726,11113,23172,7574,14129,6088,14128,3907,11900,1449,7276,1,53,1,2,1,0,1,0
2020-11,2호선,53,충정로(경기대입구),25,1,2998,888,5731,5472,14438,19190,20756,58493,13342,29779,9951,12758,10695,9882,11599,9637,12567,11586,12356,10440,12857,10939,15562,11413,24836,14961,47689,20515,16269,14491,9648,9332,9381,9311,6057,7754,1950,4884,6,189,1,1,0,0,0,0
2020-11,2호선,54,용답,15,0,2383,223,2893,797,7098,1690,11711,3409,5462,2365,3863,2083,3416,2219,3733,2702,4098,3222,3614,3347,3627,3778,4081,5222,4277,6025,3614,9542,2059,6370,1416,3871,1230,5002,946,4078,302,2552,0,0,0,0,0,0,0,0
2020-11,2호선,55,신답,1,0,873,95,1526,460,5689,818,9605,1824,3762,986,2003,892,1762,967,1710,1220,1815,1334,1470,1510,1413,2190,1441,2908,1955,3851,2153,8630,917,6653,572,2963,453,3114,508,2083,90,1625,0,10,0,0,0,0,0,0
2020-11,2호선,56,신설동,33,1,1154,440,1280,1969,2957,4983,5652,13079,3850,8269,3560,6010,4439,5937,5323,6240,6402,6377,7285,5757,8279,5134,9117,4061,11304,4490,11180,5221,4562,3750,2645,2286,2343,1981,1607,1691,443,1260,1,322,0,0,0,0,0,0
2020-11,2호선,57,도림천,22,0,269,281,954,763,2819,3793,3064,5947,1719,1943,1500,1353,1299,1151,1886,1804,1559,1346,2167,1526,2333,1371,2671,1663,2963,1901,3491,2538,1850,2284,759,1330,806,1259,358,1003,165,680,0,55,0,0,0,0,0,0
2020-11,2호선,58,양천구청,10,0,4312,863,10515,2088,30745,4851,28069,9095,14939,5058,9546,4084,8803,4541,8537,5719,8395,6897,6843,7320,6823,9055,7480,10909,8692,17114,8231,28253,3616,23903,2639,13044,2327,12035,2165,9633,560,6672,3,660,0,0,0,0,0,0
2020-11,2호선,59,신정네거리,85,0,7408,1264,14031,5973,43464,4750,41414,11529,21103,7500,13383,6430,12004,7522,12612,8464,11715,10034,10472,10602,9989,13708,12397,16683,13751,24625,11066,42750,6440,33490,4699,17723,3744,15600,2988,12940,937,7840,5,675,0,0,0,1,0,0
2020-11,2호선,60,용두(동대문구청),22,0,972,243,1318,709,4365,2189,7275,6243,3851,3354,2941,2966,3217,2951,3423,2907,3748,3629,3686,3953,4099,4091,4091,3695,4533,4067,5721,7099,2175,5002,1349,2453,1143,2697,808,1728,238,1199,0,36,0,1,0,0,0,0
2020-11,3호선,61,지축,4,0,1250,327,4845,2091,15544,2593,14987,2725,6779,1752,4482,1976,4245,2530,3902,2972,3797,3067,3524,3328,3909,3965,4468,5230,4691,6345,3671,13280,1736,10324,1042,6660,827,5562,623,5212,164,2348,1,0,1,0,1,0,0,0
2020-11,3호선,62,구파발,125,4,9119,1388,28384,8312,80336,21626,78845,26998,39211,24676,25478,23034,24686,19608,26467,22217,24658,23120,25232,23729,27940,24604,31889,29866,34321,37326,29072,66242,17137,56773,13056,31008,12140,29224,10139,21676,1964,19392,9,2106,0,12,0,0,0,0
2020-11,3호선,63,연신내,296,20,25155,1642,47840,10748,129343,20795,157229,32523,83712,32802,54142,30668,49230,31919,52833,34462,51161,39610,47710,41825,47576,51571,51844,62526,50747,81220,46139,132107,31473,117816,25117,64358,23815,61682,18046,50064,6494,33498,4,2253,1,1,0,0,0,0
2020-11,3호선,64,불광,23,1,8276,912,17771,5607,49337,9550,59968,32737,31958,30262,22235,23403,20720,21110,22551,22034,23222,24416,22853,24287,23910,27195,25724,30351,27810,36587,29941,56159,16265,46600,12313,26437,11439,22226,7492,18406,2297,11880,4,445,2,0,0,0,0,0
